,BusId,RouteAccess,BusStops,Capacity,Speed,Direction,Source,Destination,Zone
0,1,10-D,"['10-D-00', '10-D-01', '10-D-02', '10-D-03', '10-D-04', '10-D-05', '10-D-06', '10-D-07', '10-D-08', '10-D-09', '10-D-10', '10-D-11', '10-D-12', '10-D-13', '10-D-14', '10-D-15', '10-D-16', '10-D-17', '10-D-18', '10-D-19', '10-D-20', '10-D-21', '10-D-22', '10-D-23', '10-D-24', '10-D-25', '10-D-26', '10-D-27', '10-D-28', '10-D-29']",50,80,Down,10-D-00,10-D-29,Zone 4
1,2,10-U,"['10-U-00', '10-U-01', '10-U-02', '10-U-03', '10-U-04', '10-U-05', '10-U-06', '10-U-07', '10-U-08', '10-U-09', '10-U-10', '10-U-11', '10-U-12', '10-U-13', '10-U-14', '10-U-15', '10-U-16', '10-U-17', '10-U-18', '10-U-19', '10-U-20', '10-U-21', '10-U-22', '10-U-23', '10-U-24', '10-U-25', '10-U-26']",50,80,Up,10-U-00,10-U-26,Zone 4
2,3,100-D,"['100-D-01', '100-D-02', '100-D-03', '100-D-04', '100-D-05', '100-D-06', '100-D-07', '100-D-08', '100-D-09', '100-D-10', '100-D-11', '100-D-12', '100-D-13', '100-D-14', '100-D-15', '100-D-16', '100-D-17', '100-D-18', '100-D-19', '100-D-20', '100-D-21', '100-D-22', '100-D-23', '100-D-24', '100-D-25', '100-D-26', '100-D-27', '100-D-28', '100-D-29', '100-D-30', '100-D-31', '100-D-32', '100-D-33', '100-D-34', '100-D-35', '100-D-36', '100-D-37', '100-D-38']",50,80,Down,100-D-01,100-D-38,Zone 4
3,4,100-U,"['100-U-01', '100-U-02', '100-U-03', '100-U-04', '100-U-05', '100-U-06', '100-U-07', '100-U-08', '100-U-09', '100-U-10', '100-U-11', '100-U-12', '100-U-13', '100-U-14', '100-U-15', '100-U-16', '100-U-17', '100-U-18', '100-U-19', '100-U-20', '100-U-21', '100-U-22', '100-U-23', '100-U-24', '100-U-25', '100-U-26', '100-U-27', '100-U-28', '100-U-29', '100-U-30', '100-U-31', '100-U-32', '100-U-33', '100-U-34', '100-U-35', '100-U-36', '100-U-37', '100-U-38']",50,80,Up,100-U-01,100-U-38,Zone 4
4,5,101-D,"['101-D-00', '101-D-01', '101-D-02', '101-D-03', '101-D-04', '101-D-05', '101-D-06', '101-D-07', '101-D-08', '101-D-09', '101-D-10', '101-D-11', '101-D-12', '101-D-13', '101-D-14', '101-D-15', '101-D-16', '101-D-17', '101-D-18', '101-D-19', '101-D-20', '101-D-21', '101-D-22', '101-D-23', '101-D-24', '101-D-25', '101-D-26', '101-D-27', '101-D-28', '101-D-29', '101-D-30', '101-D-31', '101-D-32', '101-D-33', '101-D-34', '101-D-35', '101-D-36', '101-D-37', '101-D-38', '101-D-39', '101-D-40', '101-D-41', '101-D-42', '101-D-43']",50,80,Down,101-D-00,101-D-43,Zone 4
5,6,101-U,"['101-U-00', '101-U-01', '101-U-02', '101-U-03', '101-U-04', '101-U-05', '101-U-06', '101-U-07', '101-U-08', '101-U-09', '101-U-10', '101-U-11', '101-U-12', '101-U-13', '101-U-14', '101-U-15', '101-U-16', '101-U-17', '101-U-18', '101-U-19', '101-U-20', '101-U-21', '101-U-22', '101-U-23', '101-U-24', '101-U-25', '101-U-26', '101-U-27', '101-U-28', '101-U-29', '101-U-30', '101-U-31', '101-U-32', '101-U-33', '101-U-34', '101-U-35', '101-U-36', '101-U-37', '101-U-38', '101-U-39', '101-U-40', '101-U-41', '101-U-42', '101-U-43']",50,80,Up,101-U-00,101-U-43,Zone 4
6,7,102-D,"['102-D-00', '102-D-01', '102-D-02', '102-D-03', '102-D-04', '102-D-05', '102-D-06', '102-D-07', '102-D-08', '102-D-09', '102-D-10', '102-D-11', '102-D-12', '102-D-13', '102-D-14', '102-D-15', '102-D-16', '102-D-17', '102-D-18', '102-D-19', '102-D-20', '102-D-21', '102-D-22', '102-D-23', '102-D-24', '102-D-25', '102-D-26', '102-D-27', '102-D-28', '102-D-29', '102-D-30', '102-D-31', '102-D-32', '102-D-33', '102-D-34', '102-D-35', '102-D-36', '102-D-37', '102-D-38', '102-D-39', '102-D-40', '102-D-41', '102-D-42', '102-D-43', '102-D-44', '102-D-45', '102-D-46', '102-D-47', '102-D-48']",50,80,Down,102-D-00,102-D-48,Zone 4
7,8,102-U,"['102-U-00', '102-U-01', '102-U-02', '102-U-03', '102-U-04', '102-U-05', '102-U-06', '102-U-07', '102-U-08', '102-U-09', '102-U-10', '102-U-11', '102-U-12', '102-U-13', '102-U-14', '102-U-15', '102-U-16', '102-U-17', '102-U-18', '102-U-19', '102-U-20', '102-U-21', '102-U-22', '102-U-23', '102-U-24', '102-U-25', '102-U-26', '102-U-27', '102-U-28', '102-U-29', '102-U-30', '102-U-31', '102-U-32', '102-U-33', '102-U-34', '102-U-35', '102-U-36', '102-U-37', '102-U-38', '102-U-39', '102-U-40', '102-U-41', '102-U-42', '102-U-43', '102-U-44', '102-U-45', '102-U-46', '102-U-47', '102-U-48']",50,80,Up,102-U-00,102-U-48,Zone 4
8,9,103-D,"['103-D-00', '103-D-01', '103-D-02', '103-D-03', '103-D-04', '103-D-05', '103-D-06', '103-D-07', '103-D-08', '103-D-09', '103-D-10', '103-D-11', '103-D-12', '103-D-13', '103-D-14', '103-D-15', '103-D-16', '103-D-17', '103-D-18', '103-D-19', '103-D-20', '103-D-21', '103-D-22', '103-D-23', '103-D-24', '103-D-25', '103-D-26', '103-D-27', '103-D-28', '103-D-29', '103-D-30', '103-D-31', '103-D-32', '103-D-33', '103-D-34']",50,80,Down,103-D-00,103-D-34,Zone 4
9,10,103-U,"['103-U-00', '103-U-01', '103-U-02', '103-U-03', '103-U-04', '103-U-05', '103-U-06', '103-U-07', '103-U-08', '103-U-09', '103-U-10', '103-U-11', '103-U-12', '103-U-13', '103-U-14', '103-U-15', '103-U-16', '103-U-17', '103-U-18', '103-U-19', '103-U-20', '103-U-21', '103-U-22', '103-U-23', '103-U-24', '103-U-25', '103-U-26', '103-U-27', '103-U-28', '103-U-29', '103-U-30', '103-U-31', '103-U-32', '103-U-33', '103-U-34']",50,80,Up,103-U-00,103-U-34,Zone 4
