Trip_Id,Route_Id,Service_Cost,Construction_Cost,TimeStamp,Average_Speed,AvgCheckIn,AvgCheckOut,Average_Load
1,10-D,5527.946206767860,12853.658536585400,06:00:00,40,40.3,37.96666666666670,2.3333333333333300
2,10-D,5527.946206767860,12853.658536585400,07:00:00,40,34.7,32.36666666666670,2.3333333333333300
3,10-D,5527.946206767860,12853.658536585400,08:00:00,40,39.43333333333330,37.1,2.3333333333333300
4,10-D,5527.946206767860,12853.658536585400,09:00:00,40,32.06666666666670,29.733333333333300,2.3333333333333300
5,10-D,5527.946206767860,12853.658536585400,10:00:00,40,33.93333333333330,31.6,2.3333333333333300
6,10-D,5527.946206767860,12853.658536585400,11:00:00,40,33.233333333333300,30.9,2.3333333333333300
7,10-D,5527.946206767860,12853.658536585400,12:00:00,40,31.7,29.366666666666700,2.3333333333333300
8,10-D,5527.946206767860,12853.658536585400,13:00:00,40,40.0,37.666666666666700,2.3333333333333300
9,10-D,5527.946206767860,12853.658536585400,14:00:00,40,37.8,35.46666666666670,2.3333333333333300
10,10-D,5527.946206767860,12853.658536585400,15:00:00,40,31.566666666666700,29.233333333333300,2.3333333333333300
11,10-D,5527.946206767860,12853.658536585400,16:00:00,40,33.46666666666670,31.133333333333300,2.3333333333333300
12,10-D,5527.946206767860,12853.658536585400,17:00:00,40,33.7,31.366666666666700,2.3333333333333300
13,10-U,5513.974699865420,12524.39024390240,06:00:00,40,28.37037037037040,25.77777777777780,2.5925925925925900
14,10-U,5513.974699865420,12524.39024390240,07:00:00,40,32.48148148148150,29.88888888888890,2.5925925925925900
15,10-U,5513.974699865420,12524.39024390240,08:00:00,40,35.074074074074100,32.48148148148150,2.5925925925925900
16,10-U,5513.974699865420,12524.39024390240,09:00:00,40,33.592592592592600,31.0,2.5925925925925900
17,10-U,5513.974699865420,12524.39024390240,10:00:00,40,37.074074074074100,34.48148148148150,2.5925925925925900
18,10-U,5513.974699865420,12524.39024390240,11:00:00,40,38.96296296296300,36.370370370370400,2.5925925925925900
19,10-U,5513.974699865420,12524.39024390240,12:00:00,40,27.666666666666700,25.074074074074100,2.5925925925925900
20,10-U,5513.974699865420,12524.39024390240,13:00:00,40,33.925925925925900,31.333333333333300,2.5925925925925900
21,10-U,5513.974699865420,12524.39024390240,14:00:00,40,29.14814814814820,26.555555555555600,2.5925925925925900
22,10-U,5513.974699865420,12524.39024390240,15:00:00,40,35.81481481481480,33.22222222222220,2.5925925925925900
23,10-U,5513.974699865420,12524.39024390240,16:00:00,40,38.111111111111100,35.51851851851850,2.5925925925925900
24,10-U,5513.974699865420,12524.39024390240,17:00:00,40,31.666666666666700,29.074074074074100,2.5925925925925900
25,100-D,6052.22578308154,13731.707317073200,06:00:00,40,33.0,31.157894736842100,1.8421052631578900
26,100-D,6052.22578308154,13731.707317073200,07:00:00,40,30.05263157894740,28.210526315789500,1.8421052631578900
27,100-D,6052.22578308154,13731.707317073200,08:00:00,40,33.86842105263160,32.026315789473700,1.8421052631578900
28,100-D,6052.22578308154,13731.707317073200,09:00:00,40,33.3421052631579,31.5,1.8421052631578900
29,100-D,6052.22578308154,13731.707317073200,10:00:00,40,30.81578947368420,28.973684210526300,1.8421052631578900
30,100-D,6052.22578308154,13731.707317073200,11:00:00,40,40.63157894736840,38.78947368421050,1.8421052631578900
31,100-D,6052.22578308154,13731.707317073200,12:00:00,40,33.31578947368420,31.473684210526300,1.8421052631578900
32,100-D,6052.22578308154,13731.707317073200,13:00:00,40,37.13157894736840,35.28947368421050,1.8421052631578900
33,100-D,6052.22578308154,13731.707317073200,14:00:00,40,31.526315789473700,29.68421052631580,1.8421052631578900
34,100-D,6052.22578308154,13731.707317073200,15:00:00,40,33.21052631578950,31.36842105263160,1.8421052631578900
35,100-D,6052.22578308154,13731.707317073200,16:00:00,40,39.473684210526300,37.63157894736840,1.8421052631578900
36,100-D,6052.22578308154,13731.707317073200,17:00:00,40,33.26315789473680,31.42105263157900,1.8421052631578900
37,100-U,6015.512643505180,13731.707317073200,06:00:00,40,33.44736842105260,31.605263157894700,1.8421052631578900
38,100-U,6015.512643505180,13731.707317073200,07:00:00,40,32.81578947368420,30.973684210526300,1.8421052631578900
39,100-U,6015.512643505180,13731.707317073200,08:00:00,40,37.578947368421100,35.73684210526320,1.8421052631578900
40,100-U,6015.512643505180,13731.707317073200,09:00:00,40,38.3421052631579,36.5,1.8421052631578900
41,100-U,6015.512643505180,13731.707317073200,10:00:00,40,37.0,35.1578947368421,1.8421052631578900
42,100-U,6015.512643505180,13731.707317073200,11:00:00,40,37.6578947368421,35.81578947368420,1.8421052631578900
43,100-U,6015.512643505180,13731.707317073200,12:00:00,40,34.44736842105260,32.60526315789470,1.8421052631578900
44,100-U,6015.512643505180,13731.707317073200,13:00:00,40,31.842105263157900,30.0,1.8421052631578900
45,100-U,6015.512643505180,13731.707317073200,14:00:00,40,39.421052631578900,37.578947368421100,1.8421052631578900
46,100-U,6015.512643505180,13731.707317073200,15:00:00,40,33.78947368421050,31.94736842105260,1.8421052631578900
47,100-U,6015.512643505180,13731.707317073200,16:00:00,40,33.60526315789470,31.763157894736800,1.8421052631578900
48,100-U,6015.512643505180,13731.707317073200,17:00:00,40,33.73684210526320,31.894736842105300,1.8421052631578900
49,101-D,5686.263186162710,14390.243902439000,06:00:00,40,35.02272727272730,33.43181818181820,1.5909090909090900
50,101-D,5686.263186162710,14390.243902439000,07:00:00,40,37.95454545454550,36.36363636363640,1.5909090909090900
51,101-D,5686.263186162710,14390.243902439000,08:00:00,40,38.5,36.90909090909090,1.5909090909090900
52,101-D,5686.263186162710,14390.243902439000,09:00:00,40,36.0,34.40909090909090,1.5909090909090900
53,101-D,5686.263186162710,14390.243902439000,10:00:00,40,31.181818181818200,29.59090909090910,1.5909090909090900
54,101-D,5686.263186162710,14390.243902439000,11:00:00,40,34.06818181818180,32.47727272727270,1.5909090909090900
55,101-D,5686.263186162710,14390.243902439000,12:00:00,40,36.43181818181820,34.84090909090910,1.5909090909090900
56,101-D,5686.263186162710,14390.243902439000,13:00:00,40,34.63636363636360,33.04545454545460,1.5909090909090900
57,101-D,5686.263186162710,14390.243902439000,14:00:00,40,34.75,33.15909090909090,1.5909090909090900
58,101-D,5686.263186162710,14390.243902439000,15:00:00,40,32.15909090909090,30.568181818181800,1.5909090909090900
59,101-D,5686.263186162710,14390.243902439000,16:00:00,40,29.568181818181800,27.977272727272700,1.5909090909090900
60,101-D,5686.263186162710,14390.243902439000,17:00:00,40,34.63636363636360,33.04545454545460,1.5909090909090900
61,101-U,5686.250584966340,14390.243902439000,06:00:00,40,32.54545454545460,30.954545454545500,1.5909090909090900
62,101-U,5686.250584966340,14390.243902439000,07:00:00,40,36.09090909090910,34.5,1.5909090909090900
63,101-U,5686.250584966340,14390.243902439000,08:00:00,40,38.18181818181820,36.59090909090910,1.5909090909090900
64,101-U,5686.250584966340,14390.243902439000,09:00:00,40,38.77272727272730,37.18181818181820,1.5909090909090900
65,101-U,5686.250584966340,14390.243902439000,10:00:00,40,32.0,30.40909090909090,1.5909090909090900
66,101-U,5686.250584966340,14390.243902439000,11:00:00,40,33.09090909090910,31.5,1.5909090909090900
67,101-U,5686.250584966340,14390.243902439000,12:00:00,40,32.81818181818180,31.227272727272700,1.5909090909090900
68,101-U,5686.250584966340,14390.243902439000,13:00:00,40,37.09090909090910,35.5,1.5909090909090900
69,101-U,5686.250584966340,14390.243902439000,14:00:00,40,36.13636363636360,34.54545454545460,1.5909090909090900
70,101-U,5686.250584966340,14390.243902439000,15:00:00,40,35.18181818181820,33.59090909090910,1.5909090909090900
71,101-U,5686.250584966340,14390.243902439000,16:00:00,40,30.045454545454500,28.454545454545500,1.5909090909090900
72,101-U,5686.250584966340,14390.243902439000,17:00:00,40,31.272727272727300,29.681818181818200,1.5909090909090900
73,102-D,5812.861705627700,14939.024390243900,06:00:00,40,36.755102040816300,35.326530612244900,1.4285714285714300
74,102-D,5812.861705627700,14939.024390243900,07:00:00,40,35.714285714285700,34.285714285714300,1.4285714285714300
75,102-D,5812.861705627700,14939.024390243900,08:00:00,40,36.61224489795920,35.183673469387800,1.4285714285714300
76,102-D,5812.861705627700,14939.024390243900,09:00:00,40,33.673469387755100,32.244897959183700,1.4285714285714300
77,102-D,5812.861705627700,14939.024390243900,10:00:00,40,32.673469387755100,31.244897959183700,1.4285714285714300
78,102-D,5812.861705627700,14939.024390243900,11:00:00,40,35.93877551020410,34.51020408163270,1.4285714285714300
79,102-D,5812.861705627700,14939.024390243900,12:00:00,40,34.224489795918400,32.795918367346900,1.4285714285714300
80,102-D,5812.861705627700,14939.024390243900,13:00:00,40,34.857142857142900,33.42857142857140,1.4285714285714300
81,102-D,5812.861705627700,14939.024390243900,14:00:00,40,35.673469387755100,34.244897959183700,1.4285714285714300
82,102-D,5812.861705627700,14939.024390243900,15:00:00,40,36.87755102040820,35.44897959183670,1.4285714285714300
83,102-D,5812.861705627700,14939.024390243900,16:00:00,40,28.367346938775500,26.93877551020410,1.4285714285714300
84,102-D,5812.861705627700,14939.024390243900,17:00:00,40,34.12244897959180,32.69387755102040,1.4285714285714300
85,102-U,5817.370628547250,14939.024390243900,06:00:00,40,38.44897959183670,37.02040816326530,1.4285714285714300
86,102-U,5817.370628547250,14939.024390243900,07:00:00,40,32.12244897959180,30.693877551020400,1.4285714285714300
87,102-U,5817.370628547250,14939.024390243900,08:00:00,40,31.755102040816300,30.3265306122449,1.4285714285714300
88,102-U,5817.370628547250,14939.024390243900,09:00:00,40,35.51020408163270,34.08163265306120,1.4285714285714300
89,102-U,5817.370628547250,14939.024390243900,10:00:00,40,36.04081632653060,34.61224489795920,1.4285714285714300
90,102-U,5817.370628547250,14939.024390243900,11:00:00,40,36.51020408163270,35.08163265306120,1.4285714285714300
91,102-U,5817.370628547250,14939.024390243900,12:00:00,40,30.285714285714300,28.857142857142900,1.4285714285714300
92,102-U,5817.370628547250,14939.024390243900,13:00:00,40,34.224489795918400,32.795918367346900,1.4285714285714300
93,102-U,5817.370628547250,14939.024390243900,14:00:00,40,33.97959183673470,32.55102040816330,1.4285714285714300
94,102-U,5817.370628547250,14939.024390243900,15:00:00,40,28.979591836734700,27.551020408163300,1.4285714285714300
95,102-U,5817.370628547250,14939.024390243900,16:00:00,40,42.244897959183700,40.816326530612200,1.4285714285714300
96,102-U,5817.370628547250,14939.024390243900,17:00:00,40,36.42857142857140,35.0,1.4285714285714300
97,103-D,5452.502261294490,13402.439024390200,06:00:00,40,34.371428571428600,32.371428571428600,2.0
98,103-D,5452.502261294490,13402.439024390200,07:00:00,40,35.714285714285700,33.714285714285700,2.0
99,103-D,5452.502261294490,13402.439024390200,08:00:00,40,36.22857142857140,34.22857142857140,2.0
100,103-D,5452.502261294490,13402.439024390200,09:00:00,40,34.457142857142900,32.457142857142900,2.0
101,103-D,5452.502261294490,13402.439024390200,10:00:00,40,33.285714285714300,31.285714285714300,2.0
102,103-D,5452.502261294490,13402.439024390200,11:00:00,40,37.48571428571430,35.48571428571430,2.0
103,103-D,5452.502261294490,13402.439024390200,12:00:00,40,39.34285714285710,37.34285714285710,2.0
104,103-D,5452.502261294490,13402.439024390200,13:00:00,40,36.457142857142900,34.457142857142900,2.0
105,103-D,5452.502261294490,13402.439024390200,14:00:00,40,35.142857142857100,33.142857142857100,2.0
106,103-D,5452.502261294490,13402.439024390200,15:00:00,40,30.685714285714300,28.685714285714300,2.0
107,103-D,5452.502261294490,13402.439024390200,16:00:00,40,33.2,31.2,2.0
108,103-D,5452.502261294490,13402.439024390200,17:00:00,40,32.05714285714290,30.057142857142900,2.0
109,103-U,5439.022142706190,13402.439024390200,06:00:00,40,36.91428571428570,34.91428571428570,2.0
110,103-U,5439.022142706190,13402.439024390200,07:00:00,40,33.457142857142900,31.457142857142900,2.0
111,103-U,5439.022142706190,13402.439024390200,08:00:00,40,42.05714285714290,40.05714285714290,2.0
112,103-U,5439.022142706190,13402.439024390200,09:00:00,40,40.17142857142860,38.17142857142860,2.0
113,103-U,5439.022142706190,13402.439024390200,10:00:00,40,35.77142857142860,33.77142857142860,2.0
114,103-U,5439.022142706190,13402.439024390200,11:00:00,40,34.542857142857100,32.542857142857100,2.0
115,103-U,5439.022142706190,13402.439024390200,12:00:00,40,35.4,33.4,2.0
116,103-U,5439.022142706190,13402.439024390200,13:00:00,40,34.77142857142860,32.77142857142860,2.0
117,103-U,5439.022142706190,13402.439024390200,14:00:00,40,32.34285714285710,30.34285714285710,2.0
118,103-U,5439.022142706190,13402.439024390200,15:00:00,40,37.57142857142860,35.57142857142860,2.0
119,103-U,5439.022142706190,13402.439024390200,16:00:00,40,33.0,31.0,2.0
120,103-U,5439.022142706190,13402.439024390200,17:00:00,40,35.857142857142900,33.857142857142900,2.0
121,103A-D,6410.877834177880,17573.170731707300,06:00:00,40,34.35616438356160,33.397260273972600,0.958904109589041
122,103A-D,6410.877834177880,17573.170731707300,07:00:00,40,38.73972602739730,37.78082191780820,0.958904109589041
123,103A-D,6410.877834177880,17573.170731707300,08:00:00,40,35.3013698630137,34.342465753424700,0.958904109589041
124,103A-D,6410.877834177880,17573.170731707300,09:00:00,40,36.917808219178100,35.95890410958900,0.958904109589041
125,103A-D,6410.877834177880,17573.170731707300,10:00:00,40,31.232876712328800,30.273972602739700,0.958904109589041
126,103A-D,6410.877834177880,17573.170731707300,11:00:00,40,36.56164383561640,35.602739726027400,0.958904109589041
