ID,Direction,StopName,StopCode,Latitude,Longitude,Status,StopType,Routes,Zone
1,UP,sutardara,108-U-00,18.5155048,73.8077927,Inactive,Secondary,['108-U'],Zone 1
2,UP,shivtirthnagar,108-U-01,18.5123783,73.8064317,Active,Primary,['108-U'],Zone 1
3,UP,shivtirthnagar corner,108-U-02,18.5086,73.8091167,Active,Primary,['108-U'],Zone 1
4,UP,jai bhavaninagar,108-U-03,18.5092933,73.8114659,Active,Primary,"['279B-U', '112-U', '108-U']",Zone 1
5,UP,anandnagar kothrud,108-U-04,18.5096932,73.8144989,Inactive,Secondary,"['279B-U', '112-U', '108-U']",Zone 1
6,UP,ideal colony,108-U-05,18.5108469,73.8174918,Inactive,Secondary,"['279B-U', '112-U', '108-U']",Zone 1
7,UP,more vidyalay,108-U-06,18.5103709,73.8206234,Active,Primary,"['279B-U', '112-U', '108-U']",Zone 1
8,UP,paud phata,108-U-07,18.5060507,73.8261713,Active,Primary,"['279B-U', '144-U', '91-U', '144K-U', '92-U', '112-U', '108-U', '82A-U', '280-U']",Zone 1
9,UP,sndt college,108-U-08,18.5073011,73.8285106,Inactive,Secondary,"['279B-U', '144-U', '91-U', '144K-U', '92-U', '112-U', '108-U', '82A-U', '280-U']",Zone 1
10,UP,nal stop,108-U-09,18.5090199,73.8319626,Active,Primary,"['40-U', '279B-U', '144-U', '91-U', '144K-U', '92-U', '112-U', '108-U', '82A-U', '280-U']",Zone 1
11,UP,sonal hall,108-U-10,18.5104522,73.8349594,Active,Primary,"['40-U', '279B-U', '144-U', '91-U', '144K-U', '92-U', '112-U', '108-U', '82A-U', '280-U']",Zone 1
12,UP,garware college,108-U-11,18.5124238,73.8387158,Active,Primary,"['40-U', '279B-U', '144-U', '91-U', '144K-U', '92-U', '112-U', '108-U', '82A-U', '280-U']",Zone 1
13,UP,deccan corner,108-U-12,18.5135317,73.8413717,Inactive,Secondary,"['40-U', '279B-U', '144-U', '91-U', '144K-U', '92-U', '112-U', '108-U', '82A-U', '280-U']",Zone 1
14,UP,alka talkies,108-U-13,18.5131713,73.8447211,Active,Primary,['108-U'],Zone 1
15,UP,mati ganpati,108-U-14,18.51588,73.847115,Inactive,Secondary,['108-U'],Zone 1
16,UP,kesariwada,108-U-15,18.5162277,73.8488617,Active,Primary,['108-U'],Zone 1
17,UP,appa balawant chowk,108-U-16,18.5155197,73.8537527,Active,Primary,"['13-U', '297-U', '2A-U', '2G-U', '113-U', '13L-U', '2-NGT-U', '144-U', '2-U', '144K-U', '38-U', '33A-U', '2B-U', '37-U', '21A-U', '108-U']",Zone 1
18,UP,dakshinmukhi maruti,108-U-17,18.5181817,73.8539017,Active,Primary,"['13-U', '297-U', '2A-U', '2G-U', '113-U', '13L-U', '2-NGT-U', '144-U', '2-U', '144K-U', '38-U', '33A-U', '2B-U', '37-U', '21A-U', '108-U']",Zone 1
19,UP,shaniwarwada,108-U-18,18.5195539,73.8544723,Active,Primary,"['13-U', '297-U', '2A-U', '2G-U', '3-U', '113-U', '13L-U', '2-NGT-U', '144-U', '2-U', '144K-U', '38-U', '33A-U', '2B-U', '37-U', '21A-U', '108-U']",Zone 2
20,UP,jijamatabaug,108-U-19,18.5187798,73.8583326,Active,Primary,"['144-U', '144K-U', '3-U', '108-U']",Zone 2
21,UP,phadke haud,108-U-20,18.5188961,73.8602295,Inactive,Secondary,"['144-U', '144K-U', '108-U']",Zone 2
22,UP,apollo talkies,108-U-21,18.5202669,73.8644849,Inactive,Secondary,"['144-U', '144K-U', '108-U']",Zone 2
23,UP,15 august chowk,108-U-22,18.5224337,73.8666206,Active,Primary,"['3-U', '31A-U', '108-U']",Zone 3
24,UP,sasoon hospital,108-U-23,18.5256417,73.8720465,Active,Primary,"['3-U', '5-U', '132A-U', '132-U', '133-U', '29-U', '230-U', '20-U', '144-U', '141-U', '158-U', '165-U', '234-U', '92-U', '140-U', '236-U', '108-U', '5A-U', '144K-U', '158A(NEW)-U', '39-U', '24-NGT-U', '31A-U']",Zone 3
25,UP,pune station,108-U-24,18.5283433,73.8741367,Inactive,Secondary,"['154-U', '177K-U', '3-U', '5-U', '135-NGT-U', '132A-U', '132-U', '196-U', '133-U', '29-U', '203-U', '230-U', '20-U', '144-U', '134-U', '141-U', '170-U', '203-NGT-U', '203P-U', '177-U', '158-U', '165-U', '234-U', '92-U', '163-U', '140-U', '236-U', '166-U', '108-U', '5A-U', '144K-U', '146-U', '158A(NEW)-U', '39-U', '24-NGT-U', '31A-U']",Zone 3
26,DOWN,mandai stand,112-D-00,18.5133217,73.8559283,Active,Primary,"['144-D', '216A-D', '56-D', '40-D', '112-D', '55-D', '216C-D']",Zone 2
27,DOWN,common wealth,112-D-01,18.5145373,73.8539144,Active,Primary,"['144-D', '56-D', '40-D', '112-D', '55-D']",Zone 1
28,DOWN,gokhale hall,112-D-02,18.5141633,73.8497467,Active,Primary,"['144-D', '3-D', '56-D', '40-D', '112-D', '55-D']",Zone 1
29,DOWN,vijay talkies,112-D-03,18.5137717,73.8467217,Inactive,Secondary,"['144-D', '56-D', '40-D', '112-D', '55-D']",Zone 1
30,DOWN,kulkarni petrol pump,112-D-04,18.5130767,73.8445283,Active,Primary,"['144-D', '117E-D', '58A-D', '56-D', '40-D', '112-D', '55-D', '58-D', '59-D']",Zone 1
31,DOWN,deccan corner,112-D-05,18.5139549,73.8418531,Active,Primary,"['144-D', '40-D', '112-D', '280-D', '92-D', '80-D', '91-D', '82A-D']",Zone 1
32,DOWN,garware college,112-D-06,18.5121122,73.8384033,Inactive,Secondary,"['144-D', '40-D', '112-D', '280-D', '92-D', '80-D', '91-D', '82A-D']",Zone 1
33,DOWN,sonal hall,112-D-07,18.5104046,73.8348541,Active,Primary,"['144-D', '40-D', '112-D', '280-D', '92-D', '80-D', '91-D', '82A-D']",Zone 1
34,DOWN,nal stop,112-D-08,18.5088951,73.8320178,Active,Primary,"['144-D', '40-D', '112-D', '280-D', '92-D', '80-D', '91-D', '82A-D']",Zone 1
35,DOWN,sndt college,112-D-09,18.5072284,73.8283286,Active,Primary,"['144-D', '112-D', '280-D', '92-D', '80-D', '91-D', '82A-D']",Zone 1
36,DOWN,paud phata,112-D-10,18.5054224,73.8242946,Inactive,Secondary,"['144-D', '112-D', '280-D', '92-D', '80-D', '91-D', '82A-D']",Zone 1
37,DOWN,more vidyalay,112-D-11,18.5104604,73.8198348,Active,Primary,['112-D'],Zone 1
38,DOWN,ideal colony,112-D-12,18.5101695,73.8171606,Active,Primary,['112-D'],Zone 1
39,DOWN,anandnagar kothrud,112-D-13,18.5096461,73.8144962,Active,Primary,['112-D'],Zone 1
40,DOWN,jai bhavaninagar,112-D-14,18.5093329,73.8119083,Inactive,Secondary,['112-D'],Zone 1
41,DOWN,pratiknagar,112-D-15,18.5082233,73.8098417,Active,Primary,['112-D'],Zone 1
42,DOWN,vanaj corner,112-D-16,18.5075068,73.8079379,Active,Primary,['112-D'],Zone 1
43,DOWN,vanaj company,112-D-17,18.5070585,73.8042388,Active,Primary,['112-D'],Zone 1
44,DOWN,kachara depot kothrud,112-D-18,18.5074783,73.7997109,Inactive,Secondary,['112-D'],Zone 1
45,DOWN,bharatinagar,112-D-19,18.5077877,73.7967606,Active,Primary,['112-D'],Zone 1
46,DOWN,kothrud depot,112-D-20,18.5078863,73.7948084,Active,Primary,['112-D'],Zone 1
